"SubjCodepre","Subject","Distraction","Scene.Order","preInterested","preDistressed","preExcited","preUpset","preStrong","preGuilty","preScared","preHostile","preEnthusiastic","preProud","preIrritable","preAlert","preAshamed","preInspired","preNervous","preDetermined","preAttentive","preJittery","preActive","preAfraid","T1Interested","T1Distressed","T1Excited","T1Upset","T1Strong","T1Guilty","T1Scared","T1Hostile","T1Enthusiastic","T1Proud","T1Irritable","T1Alert","T1Ashamed","T1Inspired","T1Nervous","T1Determined","T1Attentive","T1Jittery","T1Active","T1Afraid","T2Interested","T2Distressed","T2Excited","T2Upset","T2Strong","T2Guilty","T2Scared","T2Hostile","T2Enthusiastic","T2Proud","T2Irritable","T2Alert","T2Ashamed","T2Inspired","T2Nervous","T2Determined","T2Attentive","T2Jittery","T2Active","T2Afraid","T3Interested","T3Distressed","T3Excited","T3Upset","T3Strong","T3Guilty","T3Scared","T3Hostile","T3Enthusiastic","T3Proud","T3Irritable","T3Alert","T3Ashamed","T3Inspired","T3Nervous","T3Determined","T3Attentive","T3Jittery","T3Active","T3Afraid"
"75","75-b4",75,"2",4,4,2,3,1,2,1,1,1,3,3,1,5,1,2,1,2,4,1,2,1,5,1,1,1,1,1,1,1,3,1,1,4,1,2,1,2,5,1,2,1,4,1,2,1,1,1,1,1,3,1,1,5,1,3,1,3,3,1,2,1,3,3,1,4,1,1,1,1,1,1,2,4,1,1,1,1,4,1,1,1
"76","76-b3",76,"2",3,1,3,1,3,1,1,4,4,1,1,1,3,1,1,5,1,1,1,1,5,2,2,2,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
"77","77-c2",77,"3",2,2,2,2,1,2,1,1,1,3,2,1,2,1,2,2,3,3,2,3,1,3,2,2,1,2,1,1,1,3,2,1,3,1,2,1,3,3,2,2,1,2,1,2,1,2,1,1,1,2,1,1,2,1,1,1,2,2,2,1,1,2,1,2,1,1,1,1,1,2,1,1,2,1,1,1,2,2,3,2,1
"78","78-c4",78,"3",4,1,1,1,1,4,1,1,1,1,1,2,3,1,1,1,1,2,1,1,1,1,1,1,1,4,1,1,1,1,2,2,3,1,1,1,1,3,1,2,1,1,1,1,1,4,1,1,1,1,1,2,3,1,1,1,1,3,1,2,1,1,1,1,1,4,1,1,1,1,1,2,4,1,1,1,1,4,1,2,1
"79","79-b6",79,"2",6,3,1,3,2,3,1,1,1,3,3,2,4,1,1,1,1,3,1,3,1,3,1,3,1,1,1,1,1,3,1,2,1,1,3,1,3,4,1,1,1,3,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,4,1,1,1,3,1,3,1,1,1,1,1,3,1,2,1,1,1,1,3,4,2,3,1
"80","80-a6",80,"1",6,1,1,3,1,3,1,1,1,1,3,4,4,1,2,1,3,3,2,2,1,1,2,1,3,2,1,1,1,1,3,4,2,1,1,1,1,2,1,1,1,1,4,1,3,5,2,1,3,1,2,5,1,1,1,1,2,1,4,1,1,1,3,1,3,3,1,1,3,1,2,4,2,1,1,1,1,1,4,1,1
"81","81-b5",81,"2",5,3,1,3,1,2,1,1,1,2,2,1,3,1,1,2,3,4,1,3,1,2,1,3,1,1,1,1,1,2,1,1,4,1,1,2,3,4,1,3,1,2,3,2,2,1,1,1,2,2,1,2,1,1,1,2,3,3,2,2,1,3,4,2,3,1,1,1,2,1,1,3,2,1,1,2,1,3,2,2,2
"82","82-a3",82,"1",3,4,1,4,1,4,1,1,1,3,2,1,3,1,3,1,3,4,1,4,1,4,2,3,1,2,1,1,1,3,2,1,4,1,3,2,3,4,1,4,2,3,2,2,2,1,1,1,2,2,1,2,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1
"83","83-c2",83,"3",2,4,2,2,4,4,4,2,2,1,1,4,5,4,3,2,5,5,4,3,2,1,1,2,3,3,4,2,2,1,1,4,4,3,2,1,4,4,2,3,2,2,4,4,1,2,2,1,1,4,3,2,4,2,5,1,5,5,2,4,1,2,1,1,3,3,4,4,5,2,2,4,5,5,1,5,4,5,5,2,4
"84","84-a4",84,"1",4,4,1,3,1,1,1,1,1,2,1,1,3,1,1,1,1,4,1,1,1,3,4,1,4,1,4,3,1,1,1,4,1,3,1,4,1,1,3,1,4,3,1,3,1,1,1,1,1,2,1,1,3,1,1,1,1,3,1,1,1,2,4,1,5,2,1,1,2,1,1,5,4,1,1,1,3,4,1,3,3
"85","85-c3",85,"3",3,2,3,1,1,3,1,1,1,2,3,1,4,1,1,4,4,4,3,2,1,3,1,2,1,4,1,1,1,3,3,1,4,1,3,4,4,4,3,4,1,2,3,1,2,4,1,1,1,2,3,2,4,1,2,3,4,4,3,1,1,1,2,3,1,3,1,1,1,2,3,1,4,1,2,3,2,4,2,3,1
"86","86-b3",86,"2",3,2,4,1,1,1,1,1,1,2,2,2,4,1,1,1,3,2,4,2,1,2,2,1,1,1,1,1,1,1,1,2,3,1,1,2,3,4,2,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,3,4,1,1
"87","87-a5",87,"1",5,4,1,1,1,3,1,1,1,3,2,1,3,1,1,1,1,2,1,1,1,3,2,1,1,2,1,1,1,2,2,1,2,2,1,2,1,2,1,1,1,2,2,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,2,2,1,2,2,1,1,1,2,1,1,1
"88","88-a3",88,"1",3,2,3,1,1,1,1,1,1,1,2,2,4,1,2,1,3,3,1,2,1,2,1,1,1,1,1,1,1,2,2,1,3,1,2,1,2,4,1,3,1,3,1,2,2,2,1,1,1,2,1,2,4,1,2,1,2,4,1,3,1,3,1,1,1,1,1,1,1,2,2,1,4,1,2,1,1,4,1,3,1
"89","89-c6",89,"3",6,2,1,2,2,2,1,1,2,3,2,3,3,1,1,1,4,3,1,3,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,3,1,3,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,3,1,3,1,1,1,1,3,1,1,1,3,1,1,3,3,1,1,1,2,2,1,2,1
"90","90-c5",90,"3",5,3,3,3,3,3,1,1,1,3,3,1,4,1,3,1,4,4,1,1,1,3,3,3,3,3,1,1,1,3,3,1,3,1,3,1,3,3,1,1,1,3,3,3,3,3,1,1,1,3,3,1,3,1,3,1,3,1,1,1,1,3,3,1,1,1,1,1,1,1,3,1,3,1,3,1,3,3,1,1,1
"91","91-c5",91,"3",5,2,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,3,1,1,1,3,1,3,1,1,1,1,1,2,1,1,3,1,2,2,1,3,1,1,1,3,2,1,2,1,2,2,2,1,1,2,2,2,1,2,1,3,1,1,2,3,3,2,3,1,3,2,1,1,1,2,4,1,1,4,1,3,1,1,3
"92","92-c5",92,"3",5,2,1,1,1,3,1,2,1,2,2,1,4,1,1,2,3,4,1,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"93","93-a5",93,"1",5,4,1,2,1,3,1,1,1,3,1,2,3,1,1,2,3,3,2,3,1,4,2,2,1,1,1,1,1,3,2,1,4,1,2,2,3,5,3,3,1,3,3,3,3,1,1,1,2,3,1,2,5,1,1,1,3,4,3,3,1,3,3,3,3,1,1,1,1,2,1,3,4,1,1,4,2,3,3,3,2
"94","94-b4",94,"2",4,3,1,1,1,2,1,1,1,2,3,3,2,1,1,1,4,4,1,1,1,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
"95","95-c1",95,"3",1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,1,1,2,1,3,1,2,1,4,1,1,4,3,1,1,1,1,3,1,3,1,3,5,1,4,2,1,4,2,1,1,4,2,1,1,5,2,3,5,2,5,4,1,4,1,1,1,1,1,3,1,1,5,1,1,1,1,5,1,4,1
"96","96-a5",96,"1",5,2,2,1,1,3,1,1,1,1,2,4,3,1,3,2,4,4,1,4,1,1,3,3,1,3,1,1,1,3,3,1,4,1,4,1,5,5,1,5,1,3,1,3,1,4,1,1,1,4,5,1,5,1,5,2,5,5,1,5,1,3,2,2,1,3,1,1,1,3,3,2,3,1,3,2,4,4,1,4,1
"97","97-c2",97,"3",2,1,3,1,2,2,1,3,2,1,2,1,5,1,1,2,4,4,4,2,3,1,1,1,2,1,1,2,3,1,4,3,3,1,1,3,3,3,2,1,2,1,1,1,3,2,1,1,4,1,2,4,3,1,1,1,2,3,2,1,1,1,1,1,1,3,1,2,2,1,3,1,2,1,1,1,3,1,1,1,1
